date,strategy_cum_log_ret,buy_hold_cum_log_ret_nq,strategy_points_gained,buy_hold_points_gained,strategy_dollar_gains,buy_hold_dollar_gains
2022-05-23,0.0,0.009390569,0.00,121.36,$0.00,$2427.23
2022-05-24,-0.0124605279997922,-0.009944203,-161.04,-128.52,-$3220.73,-$2570.33
2022-05-25,-0.01610650170187,0.002916817,-208.16,37.70,-$4163.13,$753.92
2022-05-26,-0.0197570143045595,0.027409956,-255.33,354.24,-$5106.69,$7084.79
2022-05-27,-0.0169393492014933,0.057233,-218.92,739.66,-$4378.40,$14793.30
2022-05-31,-0.0263659866668604,0.05455943,-340.75,705.11,-$6814.95,$14102.25
2022-06-01,-0.0263659866668604,0.047645185,-340.75,615.75,-$6814.95,$12315.09
2022-06-02,-0.0277632566267129,0.07241278,-358.81,935.84,-$7176.11,$18716.89
2022-06-03,-0.0277632566267129,0.047936752,-358.81,619.52,-$7176.11,$12390.45
2022-06-06,-0.0277632566267129,0.051299404,-358.81,662.98,-$7176.11,$13259.61
2022-06-07,-0.0277632566267129,0.059341513,-358.81,766.91,-$7176.11,$15338.30
2022-06-08,-0.02919521421245,0.052659653,-377.31,680.56,-$7546.23,$13611.20
2022-06-09,-0.0186709467798209,0.027131163,-241.30,350.64,-$4825.97,$7012.73
2022-06-10,-0.0010900618854066,-0.0056901053,-14.09,-73.54,-$281.75,-$1470.75
2022-06-13,-0.0092413407819549,-0.047967028,-119.43,-619.91,-$2388.66,-$12398.28
2022-06-14,-0.0114590079338086,-0.046005405,-148.09,-594.56,-$2961.87,-$11891.25
2022-06-15,-0.0114590079338086,-0.023755388,-148.09,-307.01,-$2961.87,-$6140.17
2022-06-16,-0.0227681102569476,-0.060874566,-294.25,-786.73,-$5884.99,-$15734.55
2022-06-17,-0.0234299010480754,-0.050675917,-302.80,-654.92,-$6056.04,-$13098.46
2022-06-21,-0.0234299010480754,-0.02789116,-302.80,-360.46,-$6056.04,-$7209.17
2022-06-22,-0.0234299010480754,-0.029522505,-302.80,-381.54,-$6056.04,-$7630.83
2022-06-23,-0.0254536948050372,-0.01584562,-328.96,-204.78,-$6579.14,-$4095.70
2022-06-24,-0.0254536948050372,0.015821408,-328.96,204.47,-$6579.14,$4089.44
2022-06-27,-0.0229723795200698,0.008026475,-296.89,103.73,-$5937.79,$2074.64
2022-06-28,-0.0189158353641687,-0.020455102,-244.46,-264.36,-$4889.27,-$5287.13
2022-06-29,-0.0113316153328923,-0.019324556,-146.45,-249.75,-$2928.94,-$4994.91
2022-06-30,-0.0130645520093821,-0.031115703,-168.84,-402.13,-$3376.86,-$8042.63
2022-07-01,-0.0052832303063041,-0.025261292,-68.28,-326.47,-$1365.58,-$6529.41
