date,Month,strategy_cum_log_ret,buy_hold_cum_log_ret_nq,strategy_points_gained,buy_hold_points_gained,strategy_percent_gains,buy_hold_percent_gains
2022-05-31,2022-05,-0.0263659866668604,0.05455943,-340.75,705.11,-2.64%,5.46%
2022-06-30,2022-06,-0.0130645520093821,-0.031115703,-168.84,-402.13,1.33%,-8.57%
2022-07-29,2022-07,-0.0020414949049154,0.075962186,-26.38,981.72,1.10%,10.71%
2022-08-31,2022-08,-0.0040156554296117,0.025885724,-51.90,334.54,-0.20%,-5.01%
2022-09-30,2022-09,-0.0045076053866068,-0.07835849,-58.26,-1012.69,-0.05%,-10.42%
2022-10-31,2022-10,-0.0257043337260256,-0.044403426,-332.20,-573.86,-2.12%,3.40%
2022-11-30,2022-11,0.0106171626903233,0.0026527736,137.21,34.28,3.63%,4.71%
2022-12-30,2022-12,0.0178049743462906,-0.08836432,230.11,-1142.00,0.72%,-9.10%
2023-01-31,2023-01,0.0526057558672619,0.0017968289,679.86,23.22,3.48%,9.02%
2023-02-28,2023-02,0.0532718072663556,-0.0050133476,688.47,-64.79,0.07%,-0.68%
2023-03-31,2023-03,0.0681650951519259,0.07665355,880.95,990.65,1.49%,8.17%
2023-04-28,2023-04,0.0605150975370634,0.07821035,782.08,1010.77,-0.76%,0.16%
2023-05-31,2023-05,0.0569204780149448,0.14505906,735.63,1874.71,-0.36%,6.68%
2023-06-30,2023-06,0.0870321060319838,0.19967858,1124.78,2580.60,3.01%,5.46%
2023-07-31,2023-07,0.0934303430531144,0.23244153,1207.47,3004.02,0.64%,3.28%
2023-08-31,2023-08,0.0929324880871718,0.2121937,1201.04,2742.34,-0.05%,-2.02%
2023-09-29,2023-09,0.1098341629622150,0.15749139,1419.47,2035.38,1.69%,-5.47%
2023-10-31,2023-10,0.1449868233976300,0.13254337,1873.77,1712.96,3.52%,-2.49%
2023-11-30,2023-11,0.1724777969720890,0.22767597,2229.06,2942.43,2.75%,9.51%
2023-12-29,2023-12,0.1668628311899740,0.2767972,2156.49,3577.26,-0.56%,4.91%
2024-01-31,2024-01,0.1741783219058560,0.2894484,2251.04,3740.76,0.73%,1.27%
2024-02-29,2024-02,0.1704673896620080,0.3357623,2203.08,4339.31,-0.37%,4.63%
2024-03-28,2024-03,0.1871629680572370,0.34400293,2418.85,4445.81,1.67%,0.82%
2024-04-30,2024-04,0.2359323226437480,0.29408807,3049.13,3800.72,4.88%,-4.99%
2024-05-31,2024-05,0.2791791599775020,0.35133305,3608.04,4540.54,4.32%,5.72%
